SERVICE_REQUEST_NUMBER,ADDRESS,CITY_COUNCIL_DISTRICT,DEPARTMENT,SERVICE_REQUEST_TYPE,ERT(ESTIMATED_RESPONSE_TIME),ERT_MEASURED_IN,OVERALL_SERVICE_REQUEST_DUE_DATE,STATUS,CREATED_DATE,UPDATED_DATE,CLOSED_DATE,OUTCOME,PRIORITY,METHOD_RECEIVED_DESC,LAT_LONG_VALUE,UNIQUE_KEY
19-01297208,"4317 GASTON AVE, DALLAS, TX, 75246",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/15/2020 11:59:00 PM,Closed,11/06/2019 08:50:03 AM,01/24/2020 01:47:33 AM,11/06/2019 08:50:03 AM,Investigation Complete,Standard,API,"(32.79544697781096000,-96.77525030572517000)",500t000000NiGsgAAF
19-01351674,"3917 WILLOW ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/29/2020 11:59:00 PM,New (Duplicate),11/20/2019 11:57:54 AM,01/24/2020 01:25:08 AM,11/20/2019 11:57:54 AM,,Standard,API,"(32.78569739323345500,-96.77102558559709000)",500t000000OciGlAAJ
19-01299120,"1717 N PEAK ST, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/15/2020 11:59:00 PM,Closed,11/06/2019 12:58:46 PM,01/24/2020 01:47:48 AM,11/06/2019 12:58:46 PM,Investigation Complete,Standard,API,"(32.80123764131310000,-96.78233769430491000)",500t000000NiKS3AAN
19-01211780,"SEEVERS AVE & IOWA AVE, DALLAS, TX, 75216",4,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,10/25/2019 10:59:00 PM,Closed,10/13/2019 09:42:10 AM,01/24/2020 02:19:35 AM,10/13/2019 09:42:10 AM,Work Completed,Standard,API,"(32.72636473187899000,-96.82161252491568000)",500t000000N6RS6AAN
19-01330712,"1722 MARILLA ST, DALLAS, TX, 75201",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/23/2020 11:59:00 PM,Closed,11/14/2019 02:54:17 PM,01/24/2020 12:44:14 AM,11/14/2019 02:54:17 PM,Investigation Complete,Standard,API,"(32.77694576601600000,-96.79525910947767000)",500t000000Oc1X0AAJ
19-01300791,"1819 N FITZHUGH AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/15/2020 11:59:00 PM,Closed (Duplicate),11/06/2019 04:19:22 PM,01/24/2020 01:47:02 AM,11/06/2019 04:19:22 PM,,Standard,API,"(32.80732233033558000,-96.77780220106862000)",500t000000NiNCIAA3
19-01349797,"750 N RIVERFRONT BLVD, DALLAS, TX, 75207",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/29/2020 11:59:00 PM,Closed,11/20/2019 07:38:53 AM,01/24/2020 01:25:05 AM,11/20/2019 07:38:53 AM,Investigation Complete,Standard,API,"(32.78348889363906000,-96.81518069797693000)",500t000000OcejUAAR
19-01298317,"512 ANN AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/15/2020 11:59:00 PM,Closed,11/06/2019 11:04:10 AM,01/24/2020 01:47:31 AM,11/06/2019 11:04:10 AM,Investigation Complete,Standard,API,"(32.78884870111581000,-96.76569456663897000)",500t000000NiIzKAAV
19-01297826,"1526 S GOOD LATIMER EXPY, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/15/2020 11:59:00 PM,Closed,11/06/2019 10:08:41 AM,01/24/2020 01:47:09 AM,11/06/2019 10:08:41 AM,Investigation Complete,Standard,API,"(32.77705442684338000,-96.78266105848928000)",500t000000NiI5CAAV
19-01200228,"6535 LAZY RIVER DR, DALLAS, TX, 75241",3,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,10/23/2019 10:59:00 PM,Closed,10/09/2019 02:30:06 PM,01/24/2020 02:18:12 AM,10/09/2019 02:30:06 PM,Work Completed,Standard,Phone,"(32.66830975348603000,-96.80307589093381000)",500t000000N5aYJAAZ
19-01345971,"4924 COLUMBIA AVE, DALLAS, TX, 75214",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/28/2020 11:59:00 PM,In Progress,11/19/2019 10:48:50 AM,01/24/2020 01:25:37 AM,11/19/2019 10:48:50 AM,,Standard,API,"(32.79572442898554400,-96.76262005543200000)",500t000000OcWoCAAV
19-01292016,"2000 ELM ST, DALLAS, TX, 75201",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/14/2020 11:59:00 PM,Closed,11/05/2019 06:22:51 AM,01/24/2020 01:47:05 AM,11/05/2019 06:22:51 AM,Investigation Complete,Standard,API,"(32.78233691036455000,-96.79427789051519000)",500t000000OGPDyAAP
19-01293514,"238 SUNSET AVE, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/14/2020 11:59:00 PM,Closed,11/05/2019 11:03:28 AM,01/24/2020 01:47:41 AM,11/05/2019 11:03:28 AM,Investigation Complete,Standard,API,"(32.74401289163789000,-96.82539496719745000)",500t000000OGSKiAAP
19-01325016,"2501 SYLVAN AVE, DALLAS, TX, 75212",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/22/2020 11:59:00 PM,Closed,11/13/2019 12:19:26 PM,01/24/2020 12:43:14 AM,11/13/2019 12:19:26 PM,Investigation Complete,Standard,API,"(32.77510543978604000,-96.83605493757716000)",500t000000ObpRtAAJ
19-01328248,"3818 N HAMPTON RD, DALLAS, TX, 75212",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/23/2020 11:59:00 PM,Closed,11/14/2019 09:18:35 AM,01/24/2020 12:44:07 AM,11/14/2019 09:18:35 AM,Investigation Complete,Standard,API,"(32.78891010391066600,-96.85624595424424000)",500t000000Obwp4AAB
19-01376217,"729 W JEFFERSON BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/05/2020 11:59:00 PM,In Progress,11/27/2019 09:33:38 AM,01/24/2020 12:42:35 AM,11/27/2019 09:33:38 AM,,Standard,API,"(32.74334118883335000,-96.83451756437638000)",500t000000OdZogAAF
19-01292017,"129 CORINTH ST VIADUCT, DALLAS, TX, 75203",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/14/2020 11:59:00 PM,Closed,11/05/2019 06:22:57 AM,01/24/2020 01:47:41 AM,11/05/2019 06:22:57 AM,Investigation Complete,Standard,API,"(32.75284766293789600,-96.79752228035095000)",500t000000OGPE3AAP
19-01297503,"5501 EAST GRAND AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/15/2020 11:59:00 PM,Closed,11/06/2019 09:28:15 AM,01/24/2020 01:47:00 AM,11/06/2019 09:28:15 AM,Investigation Complete,Standard,API,"(32.79318937890174400,-96.74820653335593000)",500t000000NiHSyAAN
19-01324364,"4411 LEMMON AVE, DALLAS, TX, 75219",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/22/2020 11:59:00 PM,Closed,11/13/2019 11:04:17 AM,01/24/2020 12:43:29 AM,11/13/2019 11:04:17 AM,Investigation Complete,Standard,API,"(32.81792118183175000,-96.81290900387337000)",500t000000OboIbAAJ
19-01299305,"4832 EAST SIDE AVE, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/15/2020 11:59:00 PM,Closed (Duplicate),11/06/2019 01:27:54 PM,01/24/2020 01:46:53 AM,11/06/2019 01:27:54 PM,Investigation Complete,Standard,API,"(32.79348683038400000,-96.76299953361301000)",500t000000NiKnVAAV
19-01297825,"1725 GREENVILLE AVE, DALLAS, TX, 75206",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/15/2020 11:59:00 PM,Closed,11/06/2019 10:08:31 AM,01/24/2020 01:47:35 AM,11/06/2019 10:08:31 AM,Investigation Complete,Standard,API,"(32.81142725829672000,-96.77036880593926000)",500t000000NiI4xAAF
19-01291598,"4101 ROSS AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/13/2020 11:59:00 PM,Closed,11/04/2019 05:58:10 PM,01/24/2020 01:47:33 AM,11/04/2019 05:58:10 PM,Investigation Complete,Standard,API,"(32.80003352325951500,-96.78386871217366000)",500t000000NvOpzAAF
19-01201993,"S MARSALIS AVE & E SANER AVE, DALLAS, TX, 75216",4,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,10/24/2019 08:02:11 AM,Closed,10/10/2019 08:02:11 AM,01/24/2020 02:18:42 AM,10/10/2019 08:02:11 AM,Work Completed,Standard,Proactive,"(32.71318016075500000,-96.81466188087701000)",500t000000N5kQtAAJ
19-01200337,"2800 COMMERCE ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/18/2019 11:59:00 PM,Closed,10/09/2019 02:44:02 PM,01/24/2020 02:18:46 AM,10/09/2019 02:44:02 PM,Investigation Complete,Standard,API,"(32.78309733847948000,-96.78312569806520000)",500t000000N5awzAAB
19-01327288,"510 S GOOD LATIMER EXPY, DALLAS, TX, 75201",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/22/2020 11:59:00 PM,Closed,11/13/2019 05:32:51 PM,01/24/2020 12:44:01 AM,11/13/2019 05:32:51 PM,Investigation Complete,Standard,API,"(32.78052535889975000,-96.78558657676125000)",500t000000ObtYUAAZ
19-01329983,"1705 STELLA AVE, DALLAS, TX, 75203",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/23/2020 11:59:00 PM,Closed,11/14/2019 01:19:51 PM,01/24/2020 12:44:01 AM,11/14/2019 01:19:51 PM,Investigation Complete,Standard,API,"(32.72911075259868000,-96.79878628596364000)",500t000000Oc08JAAR
19-01199551,"2002 S HAMPTON RD, DALLAS, TX, 75224",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/18/2019 11:59:00 PM,Closed,10/09/2019 12:58:59 PM,01/24/2020 02:18:50 AM,10/09/2019 12:58:59 PM,Investigation Complete,Standard,API,"(32.72545246745704000,-96.85677956180619000)",500t000000N5XRuAAN
19-01360136,"2700 SYLVAN AVE, DALLAS, TX, 75212",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/31/2020 11:59:00 PM,Closed (Duplicate),11/22/2019 11:23:49 AM,01/24/2020 12:40:43 AM,11/22/2019 11:23:49 AM,Investigation Complete,Standard,API,"(32.77633778101040500,-96.83560593680367000)",500t000000Od01yAAB
19-01295671,"4903 JUNIUS ST, DALLAS, TX, 75214",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/14/2020 11:59:00 PM,Closed,11/05/2019 03:53:25 PM,01/24/2020 01:47:43 AM,11/05/2019 03:53:25 PM,Investigation Complete,Standard,API,"(32.79942073484993000,-96.76835044216452000)",500t000000NiD1AAAV
19-01351713,"3917 WILLOW ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/29/2020 11:59:00 PM,New (Duplicate),11/20/2019 12:03:06 PM,01/24/2020 01:25:29 AM,11/20/2019 12:03:06 PM,,Standard,API,"(32.78569739323345500,-96.77102558559709000)",500t000000OciKTAAZ
19-01351910,"1150 W KIEST BLVD, DALLAS, TX, 75224",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/29/2020 11:59:00 PM,In Progress,11/20/2019 12:29:47 PM,01/24/2020 01:25:08 AM,11/20/2019 12:29:47 PM,,Standard,API,"(32.70565241018871000,-96.84093712888888000)",500t000000OcifvAAB
19-01293934,"2801 PARK ROW AVE, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/14/2020 11:59:00 PM,Closed,11/05/2019 11:59:04 AM,01/24/2020 01:48:12 AM,11/05/2019 11:59:04 AM,Investigation Complete,Standard,API,"(32.77099450827234000,-96.77065293981346000)",500t000000OGT6cAAH
19-01294880,"2197 W NORTHWEST HWY, DALLAS, TX, 75220",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/14/2020 11:59:00 PM,Closed,11/05/2019 02:18:19 PM,01/24/2020 01:46:58 AM,11/05/2019 02:18:19 PM,Investigation Complete,Standard,API,"(32.86495255327261600,-96.90061058786340000)",500t000000OGUopAAH
19-01347214,"700 S PEAK ST, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/28/2020 11:59:00 PM,Closed,11/19/2019 01:27:44 PM,01/24/2020 01:25:14 AM,11/19/2019 01:27:44 PM,Investigation Complete,Standard,API,"(32.78699252801142400,-96.76529368870045000)",500t000000OcZ4lAAF
19-01341963,"7248 FERGUSON RD, DALLAS, TX, 75228",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/27/2020 11:59:00 PM,In Progress,11/18/2019 12:48:27 PM,01/24/2020 01:24:26 AM,11/18/2019 12:48:27 PM,,Standard,API,"(32.79569818742315000,-96.72102098072075000)",500t000000OcO38AAF
19-01201228,"2203 S BECKLEY AVE, DALLAS, TX, 75224",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/18/2019 11:59:00 PM,Closed,10/09/2019 05:35:06 PM,01/24/2020 02:19:03 AM,10/09/2019 05:35:06 PM,Investigation Complete,Standard,API,"(32.72133340800939000,-96.82302554546207000)",500t000000N5fS1AAJ
19-01291443,"222 W JEFFERSON BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/13/2020 11:59:00 PM,Closed,11/04/2019 05:13:32 PM,01/24/2020 01:47:52 AM,11/04/2019 05:13:32 PM,Investigation Complete,Standard,API,"(32.74295273948429500,-96.82510744752051000)",500t000000NvOa6AAF
19-01355884,"1201 N ZANG BLVD, DALLAS, TX, 75203",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,Closed,11/21/2019 11:23:58 AM,01/24/2020 01:24:49 AM,11/21/2019 11:23:58 AM,Investigation Complete,Standard,API,"(32.75763191232652400,-96.82182630484195000)",500t000000Ocr66AAB
19-01351940,"2646 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/29/2020 11:59:00 PM,New,11/20/2019 12:33:22 PM,01/24/2020 01:25:33 AM,11/20/2019 12:33:22 PM,,Standard,API,"(32.78432898395637000,-96.78466284260392000)",500t000000OcijEAAR
19-01351936,"2650 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/29/2020 11:59:00 PM,Closed,11/20/2019 12:33:15 PM,01/24/2020 01:26:04 AM,11/20/2019 12:33:15 PM,Investigation Complete,Standard,API,"(32.78433013668561000,-96.78465725935418000)",500t000000OciipAAB
19-01361935,"2112 S LAMAR ST, DALLAS, TX, 75215",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/31/2020 11:59:00 PM,In Progress,11/22/2019 03:13:57 PM,01/24/2020 12:40:43 AM,11/22/2019 03:13:57 PM,,Standard,API,"(32.76515241325521500,-96.78890874099297000)",500t000000Od33dAAB
19-01201402,"1011 FAIRVIEW AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/18/2019 11:59:00 PM,Closed,10/09/2019 07:32:08 PM,01/24/2020 02:18:52 AM,10/09/2019 07:32:08 PM,Investigation Complete,Standard,API,"(32.79313117408276000,-96.75121015029240000)",500t000000N5h0JAAR
19-01375609,"CBD FAIR PARK LINK & GASTON AVE, DALLAS, TX, 75226",2,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,12/11/2019 07:31:51 AM,Closed,11/27/2019 07:31:51 AM,01/24/2020 12:42:24 AM,11/27/2019 07:31:51 AM,Work Completed,Standard,Proactive,"(32.78776005819359000,-96.78394865167759000)",500t000000OdYXAAA3
19-01354255,"BRANDON ST & HOLLYWOOD AVE, DALLAS, TX, 75208",1,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,12/05/2019 11:59:00 PM,Closed,11/21/2019 12:13:51 AM,01/24/2020 01:25:14 AM,11/21/2019 12:13:51 AM,Work Completed,Standard,API,"(32.73161485767505500,-96.85553578083640000)",500t000000OcnDrAAJ
19-01210407,"3521 ALASKA AVE, DALLAS, TX, 75216",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/20/2019 11:59:00 PM,Closed,10/12/2019 09:12:55 AM,01/24/2020 02:19:47 AM,10/12/2019 09:12:55 AM,Investigation Complete,Standard,API,"(32.70151924122977500,-96.81610963567832000)",500t000000N6OHZAA3
19-01345765,"4910 COLUMBIA AVE, DALLAS, TX, 75214",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/28/2020 11:59:00 PM,In Progress,11/19/2019 10:23:21 AM,01/24/2020 01:25:29 AM,11/19/2019 10:23:21 AM,,Standard,API,"(32.79533730514747000,-96.76309092982860000)",500t000000OcWPgAAN
19-01329245,"2012 COMMERCE ST, DALLAS, TX, 75201",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/23/2020 11:59:00 PM,Closed,11/14/2019 11:28:50 AM,01/24/2020 12:44:14 AM,11/14/2019 11:28:50 AM,Investigation Complete,Standard,API,"(32.78088994181088400,-96.79368737458003000)",500t000000ObyfGAAR
20-00011823,"1104 N ZANG BLVD, DALLAS, TX, 75203",1,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,01/17/2020 01:23:54 PM,Closed,01/05/2020 01:23:54 PM,01/27/2020 12:27:39 AM,01/05/2020 01:23:54 PM,Work Completed,Standard,API,"(32.75620238450586000,-96.82269798027947000)",500t000000PztbsAAB
19-01222007,"2637 LAWRENCE ST, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,Closed,10/16/2019 07:17:46 AM,01/27/2020 02:49:57 AM,10/16/2019 07:17:46 AM,Investigation Complete,Standard,API,"(32.75351769589908500,-96.75483717546484000)",500t000000NWRyVAAX
19-01177807,"722 S HASKELL AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/12/2019 11:59:00 PM,Closed (Duplicate),10/03/2019 10:19:33 AM,01/27/2020 12:57:35 AM,10/03/2019 10:19:33 AM,Investigation Complete,Standard,API,"(32.78507469885922600,-96.76630960117892000)",500t000000N3yJrAAJ
19-01177173,"503 S RIVERFRONT BLVD, DALLAS, TX, 75207",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/12/2019 11:59:00 PM,Closed,10/03/2019 08:57:48 AM,01/27/2020 12:57:24 AM,10/03/2019 08:57:48 AM,Investigation Complete,Standard,API,"(32.77027484295918000,-96.81171745359485000)",500t000000N3wBCAAZ
19-01376325,"500 SINGLETON BLVD, DALLAS, TX, 75212",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/05/2020 11:59:00 PM,In Progress,11/27/2019 09:49:05 AM,01/27/2020 02:39:10 AM,11/27/2019 09:49:05 AM,,Standard,API,"(32.77845481563881000,-96.83214954898901000)",500t000000Oda1BAAR
19-01337862,"4310 MAIN ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/24/2020 11:59:00 PM,In Progress,11/16/2019 01:32:12 PM,01/27/2020 02:41:42 AM,11/16/2019 01:32:12 PM,,Standard,API,"(32.78994799343367000,-96.76871976004770000)",500t000000OcErSAAV
19-01222616,"1515 FORT WORTH AVE, DALLAS, TX, 75208",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/25/2019 11:59:00 PM,In Progress,10/16/2019 08:39:06 AM,01/27/2020 02:50:46 AM,10/16/2019 08:39:06 AM,,Standard,API,"(32.76591268482281000,-96.84433964287702000)",500t000000NWTiPAAX
19-01426088,"909 N FITZHUGH AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/20/2020 11:59:00 PM,Closed,12/12/2019 10:03:52 AM,01/27/2020 02:28:36 AM,12/12/2019 10:03:52 AM,Investigation Complete,Standard,API,"(32.80012791078204000,-96.76955593613957000)",500t000000OfPy1AAF
20-00073705,"6818 FISHER RD, DALLAS, TX, 75214",9,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,02/12/2020 11:59:00 PM,Closed,01/23/2020 09:02:45 AM,01/27/2020 02:11:54 AM,01/23/2020 09:02:45 AM,No Action Required,Standard,Phone,"(32.84740968321877000,-96.74294169425363000)",500t000000R3PNoAAN
19-01420649,"1550 W MOCKINGBIRD LN, DALLAS, TX, 75235",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/19/2020 11:59:00 PM,Closed,12/11/2019 08:34:08 AM,01/27/2020 02:03:38 AM,12/11/2019 08:34:08 AM,Investigation Complete,Standard,API,"(32.82205632103517000,-96.86014306692604000)",500t000000Of8DrAAJ
19-01382441,"2814 CANTON ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/07/2020 11:59:00 PM,In Progress,11/30/2019 11:42:45 AM,01/27/2020 02:40:14 AM,11/30/2019 11:42:45 AM,,Standard,API,"(32.78216589570284000,-96.78272857424648000)",500t000000OdnbRAAR
19-01220520,"2916 MAIN ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/24/2019 11:59:00 PM,Closed,10/15/2019 02:23:24 PM,01/27/2020 02:50:44 AM,10/15/2019 02:23:24 PM,Investigation Complete,Standard,API,"(32.78411480302811000,-96.78183728774906000)",500t000000NWFVcAAP
19-01378004,"4815 GASTON AVE, DALLAS, TX, 75246",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/05/2020 11:59:00 PM,Closed (Duplicate),11/27/2019 01:37:44 PM,01/27/2020 02:39:16 AM,11/27/2019 01:37:44 PM,Investigation Complete,Standard,API,"(32.79918417493400000,-96.77074054666525000)",500t000000OdckYAAR
19-01356835,"2001 N BUCKNER BLVD, DALLAS, TX, 75228",9,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,Closed,11/21/2019 01:54:22 PM,01/27/2020 02:46:44 AM,11/21/2019 01:54:22 PM,Investigation Complete,Standard,API,"(32.81995235704703600,-96.69182974053449000)",500t000000Ocsv0AAB
19-01397090,"2935 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/12/2020 11:59:00 PM,Closed,12/04/2019 01:08:57 PM,01/27/2020 02:38:24 AM,12/04/2019 01:08:57 PM,Investigation Complete,Standard,API,"(32.78514991138916000,-96.78189815405428000)",500t000000OeHjuAAF
19-01352815,"1150 W KIEST BLVD, DALLAS, TX, 75224",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/29/2020 11:59:00 PM,In Progress (Duplicate),11/20/2019 02:54:49 PM,01/27/2020 02:46:46 AM,11/20/2019 02:54:49 PM,,Standard,API,"(32.70565241018871000,-96.84093712888888000)",500t000000OckWMAAZ
19-01261707,"5005 GASTON AVE, DALLAS, TX, 75214",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/03/2020 11:59:00 PM,Closed (Duplicate),10/26/2019 01:58:26 PM,01/27/2020 01:52:22 AM,10/26/2019 01:58:26 PM,Investigation Complete,Standard,API,"(32.80170867533590000,-96.76768809748704000)",500t000000NsdQIAAZ
19-01375961,"9565 MERCER DR, DALLAS, TX, 75228",9,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/05/2020 11:59:00 PM,In Progress,11/27/2019 08:58:55 AM,01/27/2020 02:38:57 AM,11/27/2019 08:58:55 AM,,Standard,API,"(32.82500896914444000,-96.69316860132345000)",500t000000OdZKXAA3
19-01253901,"5016 GASTON AVE, DALLAS, TX, 75214",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/02/2020 11:59:00 PM,Closed,10/24/2019 12:03:16 PM,01/27/2020 01:50:58 AM,10/24/2019 12:03:16 PM,Investigation Complete,Standard,API,"(32.80161550844377000,-96.76733618367892000)",500t000000NrcLHAAZ
20-00021763,"5300 KELLER SPRINGS RD, DALLAS, TX, 75248",11,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,01/23/2020 06:38:19 AM,Closed (Transferred),01/07/2020 05:48:17 PM,01/27/2020 02:35:08 AM,01/07/2020 05:48:17 PM,,Standard,Phone,"(32.96839172178109600,-96.81689436821293000)",500t000000Q0Hs0AAF
20-00038091,"MERRELL RD & WEBB CHAPEL RD, DALLAS, TX, 75229",13,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,01/28/2020 12:06:06 PM,Closed,01/13/2020 12:06:06 PM,01/27/2020 01:36:42 AM,01/13/2020 12:06:06 PM,Work Completed,Standard,Proactive,"(32.88779720879150000,-96.87053095746680000)",500t000000Q12IMAAZ
19-01387260,"400 N ZANG BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/10/2020 11:59:00 PM,Closed,12/02/2019 01:48:29 PM,01/27/2020 02:37:19 AM,12/02/2019 01:48:29 PM,Investigation Complete,Standard,API,"(32.74810121297239400,-96.82435425891424000)",500t000000OdxNGAAZ
19-01330749,"4732 RAMONA AVE, DALLAS, TX, 75216",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/23/2020 11:59:00 PM,Closed,11/14/2019 02:59:24 PM,01/27/2020 02:41:00 AM,11/14/2019 02:59:24 PM,Investigation Complete,Standard,API,"(32.68896740979711500,-96.79932876108780000)",500t000000Oc1axAAB
19-01176212,"1253 N MOROCCO AVE, DALLAS, TX, 75211",6,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,10/17/2019 10:59:00 PM,Closed,10/03/2019 06:38:03 AM,01/27/2020 12:57:10 AM,10/03/2019 06:38:03 AM,Work Could not be Completed,Standard,API,"(32.75729496728896000,-96.91031732292505000)",500t000000N3ttVAAR
19-01211236,"12504 N CENTRAL SERV NB, DALLAS, TX, 75243",10,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,10/31/2019 10:59:00 PM,Closed,10/12/2019 04:25:03 PM,01/27/2020 02:49:11 AM,10/12/2019 04:25:03 PM,Work Could not be Completed,Standard,API,"(32.91858694288785600,-96.76568027499083000)",500t000000N6PtyAAF
19-01286184,"4742 VICTOR ST, DALLAS, TX, 75246",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/10/2020 11:59:00 PM,Closed,11/03/2019 09:45:37 AM,01/27/2020 02:10:42 AM,11/03/2019 09:45:37 AM,Investigation Complete,Standard,API,"(32.79597392076913000,-96.76709133429236000)",500t000000NvE3qAAF
19-01356545,"2653 COMMERCE ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,Closed,11/21/2019 01:13:18 PM,01/27/2020 02:46:46 AM,11/21/2019 01:13:18 PM,Investigation Complete,Standard,API,"(32.78310223009829400,-96.78447373912817000)",500t000000OcsNhAAJ
